,Componente 1,Componente 2,C. Manual,Clusters
217,0.250378428833334,2.967284438728469,X-05_Reclasificar Servicios Front - App Movil,1
218,0.282570359486814,3.2226197473154254,O-01_Servicios Onbase,1
219,0.4846043111890317,4.403629065674293,X-04_Reclasificar - Varios,8
220,0.4846043111890317,4.403629065674293,X-04_Reclasificar - Varios,8
221,0.4719286537341461,3.2619687115196303,C-12_Viaticos,1
222,0.5307504253257668,3.2549506246601627,C-12_Viaticos,1
223,0.43148928834392325,4.2642096135437875,X-04_Reclasificar - Varios,8
224,0.45092620247751014,4.261890575065712,X-04_Reclasificar - Varios,8
225,0.45278456739777556,4.256763718965697,X-04_Reclasificar - Varios,8
226,0.24840875008317648,2.874036652038733,X-04_Reclasificar Servicios Front,1
227,0.23783833630867612,2.795038017155856,X-04_Reclasificar Servicios Front,1
228,0.36887434269649516,3.0516129446507065,C-11_PMO & Soporte - Autos,1
229,0.36887434269649516,3.0516129446507065,C-11_PMO & Soporte - Autos,1
230,0.3058748022139023,3.0951004581997354,C-12_Viaticos,1
231,0.2536844643921665,3.2950541894195733,C-07_Convivencia,1
232,0.30722136406443046,3.288666646135514,C-07_Convivencia,1
233,0.2536844643921665,3.2950541894195733,C-07_Convivencia,1
234,0.30722136406443046,3.288666646135514,C-07_Convivencia,1
235,0.28898536043971595,3.2531888406412985,C-07_Convivencia,1
236,0.29453543775821217,3.252526655133382,C-07_Convivencia,1
237,0.1914906237753556,2.6139825899487343,X-04_Reclasificar Servicios Front,1
238,-0.23561388204138353,-1.245799036560648,C-11_PMO & Soporte - Autos,5
239,-0.24534899380908834,-1.2668579092987602,C-11_PMO & Soporte - Autos,5
240,-0.2550841055767934,-1.287916782036872,C-11_PMO & Soporte - Autos,5
241,-0.2636475337702728,-0.7029740299271001,X-04_Reclasificar Servicios Front,5
242,-0.4248571582508162,-0.6917758899607894,C-07_Convivencia,5
243,-0.4345922700185213,-0.7128347626989018,C-07_Convivencia,5
244,0.08788422177887768,-1.1341156433920003,X-04_Reclasificar Servicios Front,2
245,-0.3681085595357963,-0.816876927360431,X-04_Reclasificar Servicios Front,5
246,-0.4492867538985873,-0.7837764562362255,X-04_Reclasificar Servicios Front,5
247,-0.159207456450474,0.3860356234303773,X-04_Reclasificar - Varios,3
248,-0.31710679684159404,-0.6844624341998052,C-12_Viaticos,5
249,-0.4480284674932996,-0.5531587099211333,O-01_Servicios Onbase,5
250,-0.24929326463762094,-0.03510906898351228,C-12_Viaticos,3
251,-0.27848411499330467,0.5176488572418283,X-04_Reclasificar - Varios,3
252,-0.2548256949197977,0.5220795177496446,X-04_Reclasificar - Varios,3
253,-0.46790970385206365,-0.4661837341213822,C-07_Convivencia,5
254,-0.46728504228946577,-0.944513862893773,X-04_Reclasificar Servicios Front,5
255,-0.319215042925379,0.05434563228070944,C-07_Convivencia,3
256,0.14250231714513967,-0.8239878413776052,C-12_Viaticos,2
257,-0.43782210960790496,-0.592950955466278,C-12_Viaticos,5
258,-0.4712014248227537,-0.8693920593983286,X-05_Reclasificar Servicios Front - App Movil,5
259,-0.48093653659045865,-0.8904509321364407,X-05_Reclasificar Servicios Front - App Movil,5
260,-0.44406964522605574,-0.7114328059739128,X-05_Reclasificar Servicios Front - App Movil,5
261,-0.3806384573237623,-0.07522465308243997,C-12_Viaticos,3
262,-0.43623461474226,-0.7133235107635439,C-07_Convivencia,5
263,-0.36942821198961506,0.4547972342557942,X-04_Reclasificar - Varios,3
264,0.12866508959507936,0.8603198303800909,X-04_Reclasificar - Varios,0
265,-0.5020499755487055,-0.8581530388778047,X-04_Reclasificar Servicios Front,5
266,-0.4880484817424027,-1.0638902477233894,X-04_Reclasificar Servicios Front,5
267,-0.3035257056032793,-0.13165761655914346,C-12_Viaticos,3
268,0.24203449542364833,-0.3175251253357695,C-03_Servicios InMotion_Construcción,3
269,-0.015903072914502384,1.9530777132373875,X-03_Reclasificar - SESAS,1
270,-0.1635334190227674,1.3699033608063864,X-03_Reclasificar - SESAS,0
271,-0.3791970076101965,0.5080147398542899,X-03_Reclasificar - SESAS,3
272,-0.045108408217617225,1.889901095023051,X-03_Reclasificar - SESAS,1
273,-0.19273875432588225,1.3067267425920495,X-03_Reclasificar - SESAS,0
274,-0.4084023429133114,0.44483812163995334,X-03_Reclasificar - SESAS,3
275,-0.4577635792610045,-0.5742175826592455,O-01_Servicios Onbase,5
276,-0.29291484014801417,0.500149620102205,X-04_Reclasificar - Varios,3
277,-0.27000651805965153,0.505148912494764,X-04_Reclasificar - Varios,3
278,-0.3709061308874606,-0.6436784068830138,C-12_Viaticos,5
279,-0.4906716483581637,-0.9115098048745531,X-05_Reclasificar Servicios Front - App Movil,5
280,-0.5221268552964988,-1.1586984244975884,X-05_Reclasificar Servicios Front - App Movil,5
281,-0.5318619670642039,-1.1797572972357007,X-05_Reclasificar Servicios Front - App Movil,5
282,-0.5415970788319087,-1.2008161699738127,X-05_Reclasificar Servicios Front - App Movil,5
283,-0.4973590088117315,-1.0297138784405968,X-05_Reclasificar Servicios Front - App Movil,5
